gene	unique	total
ENSMUSG00000090142	419	454
ENSMUSG00000070175	3	3
ENSMUSG00000099906	5429	5449
ENSMUSG00000065559	0	0
ENSMUSG00000065480	0	20
ENSMUSG00000025929	1072	1072
ENSMUSG00000041872	1919	1919
ENSMUSG00000041859	3740	3740
ENSMUSG00000099714	1087	1087
ENSMUSG00000102121	734	734
ENSMUSG00000088858	33	33
ENSMUSG00000097934	1021	1021
ENSMUSG00000025931	5403	5403
ENSMUSG00000077314	32	32
ENSMUSG00000100929	759	759
ENSMUSG00000041809	2207	2207
ENSMUSG00000041779	6650	6650
ENSMUSG00000099971	447	447
ENSMUSG00000100819	472	472
ENSMUSG00000025933	1349	1349
ENSMUSG00000102633	2001	2001
ENSMUSG00000025934	4393	4393
ENSMUSG00000099343	534	534
ENSMUSG00000096375	165	267
ENSMUSG00000025936	1364	1364
ENSMUSG00000093963	340	340
ENSMUSG00000067750	1387	1888
ENSMUSG00000086194	272	272
ENSMUSG00000094436	123	129
ENSMUSG00000041722	1346	1847
ENSMUSG00000085507	251	251
ENSMUSG00000094926	123	129
ENSMUSG00000085079	2137	2137
ENSMUSG00000085679	97	97
ENSMUSG00000028033	7971	7971
ENSMUSG00000104138	2228	2228
ENSMUSG00000082935	902	1025
ENSMUSG00000103748	1468	1468
ENSMUSG00000097109	1996	1996
ENSMUSG00000099692	453	453
ENSMUSG00000100418	348	348
ENSMUSG00000041670	8019	8019
ENSMUSG00000097642	703	703
ENSMUSG00000101468	822	822
ENSMUSG00000101227	1979	1979
ENSMUSG00000073730	1682	1682
ENSMUSG00000089553	22	22
ENSMUSG00000102766	624	624
ENSMUSG00000065405	0	0
ENSMUSG00000097970	300	300
ENSMUSG00000065567	0	0
ENSMUSG00000100775	248	248
ENSMUSG00000101226	545	545
ENSMUSG00000026158	8007	8007
ENSMUSG00000097920	858	890
ENSMUSG00000099503	679	679
ENSMUSG00000026156	6200	6200
ENSMUSG00000026155	3664	3664
ENSMUSG00000026154	775	775
ENSMUSG00000102495	291	291
ENSMUSG00000026153	8456	8456
ENSMUSG00000102398	2701	2701
ENSMUSG00000097670	768	768
ENSMUSG00000026147	4968	4968
ENSMUSG00000026141	6824	6824
ENSMUSG00000077463	38	38
ENSMUSG00000099997	1130	1238
ENSMUSG00000100131	0	777
ENSMUSG00000067736	0	195
ENSMUSG00000101939	3	246
ENSMUSG00000101111	0	684
ENSMUSG00000100862	0	579
ENSMUSG00000102070	0	582
ENSMUSG00000101249	13	393
ENSMUSG00000073725	6050	6051
ENSMUSG00000100808	562	562
ENSMUSG00000100483	1117	1117
ENSMUSG00000100450	696	717
ENSMUSG00000099392	349	349
ENSMUSG00000033569	18789	18789
ENSMUSG00000080849	345	345
ENSMUSG00000104257	1452	1452
ENSMUSG00000096866	8	8
ENSMUSG00000102296	932	932
ENSMUSG00000103209	3276	3276
ENSMUSG00000104027	3334	3334
ENSMUSG00000102407	2434	2434
ENSMUSG00000103214	3006	3006
ENSMUSG00000104100	3158	3158
ENSMUSG00000084740	5	5
ENSMUSG00000103889	2836	2836
ENSMUSG00000101301	471	471
ENSMUSG00000104221	2844	2844
ENSMUSG00000102250	3896	3896
ENSMUSG00000102317	5341	5341
ENSMUSG00000103563	2642	2642
ENSMUSG00000102465	3482	3482
ENSMUSG00000102659	3592	3592
ENSMUSG00000103924	4451	4451
ENSMUSG00000104132	3526	3526
ENSMUSG00000102747	3211	3211
ENSMUSG00000102386	918	918
ENSMUSG00000103004	231	231
ENSMUSG00000104516	1123	1123
ENSMUSG00000101618	457	457
ENSMUSG00000099458	552	552
ENSMUSG00000088111	7	7
ENSMUSG00000073722	4219	4219
ENSMUSG00000095256	20	20
ENSMUSG00000100310	318	318
ENSMUSG00000101514	1903	1903
ENSMUSG00000101033	555	555
ENSMUSG00000101372	1774	1774
ENSMUSG00000103241	1415	1415
ENSMUSG00000086240	50	175
ENSMUSG00000048411	2788	2788
ENSMUSG00000081557	2367	2383
ENSMUSG00000058590	205	205
ENSMUSG00000101235	451	451
ENSMUSG00000064433	13	13
ENSMUSG00000080625	1	1
ENSMUSG00000080391	0	0
ENSMUSG00000099257	26	26
ENSMUSG00000099492	1133	1213
ENSMUSG00000101726	523	523
ENSMUSG00000096829	11	11
ENSMUSG00000098883	8	8
ENSMUSG00000053185	1062	1062
ENSMUSG00000100261	859	1111
ENSMUSG00000101180	229	229
ENSMUSG00000048874	14307	14544
ENSMUSG00000103783	2785	2785
ENSMUSG00000104315	2936	2936
ENSMUSG00000026064	1711	5535
ENSMUSG00000117310	321	4145
ENSMUSG00000117091	600	627
ENSMUSG00000086726	587	630
ENSMUSG00000086727	3751	3889
ENSMUSG00000100237	486	486
ENSMUSG00000098529	39	39
ENSMUSG00000100910	2759	2759
ENSMUSG00000099796	126	126
ENSMUSG00000050217	1937	1937
ENSMUSG00000026063	1352	1352
ENSMUSG00000077664	28	28
ENSMUSG00000100205	460	460
ENSMUSG00000100592	465	465
ENSMUSG00000094215	520	597
ENSMUSG00000101093	1238	1238
ENSMUSG00000070960	255	1414
ENSMUSG00000088620	8	8
ENSMUSG00000082159	736	736
ENSMUSG00000026058	10190	10190
ENSMUSG00000064688	8	8
ENSMUSG00000103482	1710	1710
ENSMUSG00000104498	0	1489
ENSMUSG00000104313	1446	1446
ENSMUSG00000102865	827	1338
ENSMUSG00000102321	3314	3314
ENSMUSG00000091318	3036	3510
ENSMUSG00000089489	0	0
ENSMUSG00000104433	2371	2371
ENSMUSG00000089395	193	193
ENSMUSG00000102926	4908	4908
ENSMUSG00000100497	2032	2032
ENSMUSG00000102917	718	1122
ENSMUSG00000100481	1611	1690
ENSMUSG00000100590	652	652
ENSMUSG00000088750	11	11
ENSMUSG00000104230	551	551
ENSMUSG00000101754	1594	1594
ENSMUSG00000065223	1	1
ENSMUSG00000100318	814	814
ENSMUSG00000101612	2156	2156
ENSMUSG00000065260	7	7
ENSMUSG00000026134	5819	5819
ENSMUSG00000101682	319	319
ENSMUSG00000102714	2976	2976
ENSMUSG00000102093	229	229
ENSMUSG00000103746	790	790
ENSMUSG00000102198	2215	2215
ENSMUSG00000004768	8425	8425
ENSMUSG00000042215	3053	3053
ENSMUSG00000103072	242	242
ENSMUSG00000042197	16143	16143
ENSMUSG00000081402	2200	2458
ENSMUSG00000042182	3645	3645
ENSMUSG00000104416	1529	1529
ENSMUSG00000026131	42273	42273
ENSMUSG00000103596	2285	2285
ENSMUSG00000099382	235	235
ENSMUSG00000084506	0	0
ENSMUSG00000103364	1585	1599
ENSMUSG00000105982	0	0
ENSMUSG00000096992	4682	4682
ENSMUSG00000103001	1148	1148
ENSMUSG00000104397	331	331
ENSMUSG00000102839	0	288
ENSMUSG00000101206	1063	1063
ENSMUSG00000101462	2831	2831
ENSMUSG00000102336	6164	6164
ENSMUSG00000092852	0	0
ENSMUSG00000042111	2218	2444
ENSMUSG00000101711	367	430
ENSMUSG00000026127	8868	8868
ENSMUSG00000026126	6642	6642
ENSMUSG00000100280	2310	2310
ENSMUSG00000101223	1197	1197
ENSMUSG00000026125	1329	1329
ENSMUSG00000101116	193	193
ENSMUSG00000026124	941	941
ENSMUSG00000101803	376	376
ENSMUSG00000037529	2200	2200
ENSMUSG00000045815	411	411
ENSMUSG00000045174	4293	4293
ENSMUSG00000100524	324	324
ENSMUSG00000102499	136	136
ENSMUSG00000103521	1297	1297
ENSMUSG00000104098	547	547
ENSMUSG00000037509	10049	10049
ENSMUSG00000102537	49	49
ENSMUSG00000102612	256	256
ENSMUSG00000104002	2450	2450
ENSMUSG00000037503	5603	5603
ENSMUSG00000104358	2937	2937
ENSMUSG00000026123	7980	7980
ENSMUSG00000103716	2038	2038
ENSMUSG00000103548	123	130
ENSMUSG00000103760	337	337
ENSMUSG00000103997	136	136
ENSMUSG00000077231	30	30
ENSMUSG00000104417	541	541
ENSMUSG00000064601	6	6
ENSMUSG00000101714	353	353
ENSMUSG00000102531	467	467
ENSMUSG00000103096	805	805
ENSMUSG00000102279	364	364
ENSMUSG00000103708	726	726
ENSMUSG00000104201	326	326
ENSMUSG00000102434	1273	1273
ENSMUSG00000045216	5441	5441
ENSMUSG00000104523	348	348
ENSMUSG00000102202	4241	4241
ENSMUSG00000037470	13321	13321
ENSMUSG00000098752	0	0
ENSMUSG00000047180	3118	3118
ENSMUSG00000037447	13223	13223
ENSMUSG00000102762	614	614
ENSMUSG00000010453	7178	7178
ENSMUSG00000098680	0	0
ENSMUSG00000037432	6550	6550
ENSMUSG00000001143	7727	7727
ENSMUSG00000037408	4687	4729
ENSMUSG00000104316	2060	2060
ENSMUSG00000106081	0	42
ENSMUSG00000001138	6413	6413
ENSMUSG00000102845	170	170
ENSMUSG00000067653	778	2693
ENSMUSG00000109510	264	2229
ENSMUSG00000079610	4688	4738
ENSMUSG00000026121	5072	5072
ENSMUSG00000087589	2679	2679
ENSMUSG00000046337	3275	3275
ENSMUSG00000089906	219	246
ENSMUSG00000077939	0	0
ENSMUSG00000061518	1799	1861
ENSMUSG00000037351	4368	4368
ENSMUSG00000102416	1641	1641
ENSMUSG00000104237	1534	1534
ENSMUSG00000026117	2885	2885
ENSMUSG00000097291	913	913
ENSMUSG00000026116	9658	9658
ENSMUSG00000103016	44	44
ENSMUSG00000102930	2314	2314
ENSMUSG00000103159	3453	3453
ENSMUSG00000080054	310	399
ENSMUSG00000095944	20	20
ENSMUSG00000050122	5579	5579
ENSMUSG00000103603	893	893
ENSMUSG00000026114	4014	4014
ENSMUSG00000102231	247	247
ENSMUSG00000026113	10963	10963
ENSMUSG00000086064	762	762
ENSMUSG00000102879	435	435
ENSMUSG00000026112	5120	5120
ENSMUSG00000026111	1938	1938
ENSMUSG00000026110	13146	13146
ENSMUSG00000103948	1342	2656
ENSMUSG00000087233	377	1691
ENSMUSG00000026090	5108	5108
ENSMUSG00000089767	461	461
ENSMUSG00000104365	1827	1827
ENSMUSG00000102650	2119	2119
ENSMUSG00000060771	11016	11016
ENSMUSG00000097268	2990	2990
ENSMUSG00000037216	1973	1973
ENSMUSG00000026088	2665	2665
ENSMUSG00000026087	3216	3216
ENSMUSG00000061584	2465	2465
ENSMUSG00000087374	3891	3891
ENSMUSG00000026085	884	884
ENSMUSG00000089141	138	138
ENSMUSG00000058407	9556	9581
ENSMUSG00000026083	9894	9894
ENSMUSG00000026082	6686	6686
ENSMUSG00000103804	602	602
ENSMUSG00000102716	1749	1749
ENSMUSG00000037138	6840	6840
ENSMUSG00000085391	811	811
ENSMUSG00000085280	540	540
ENSMUSG00000087131	1753	1753
ENSMUSG00000102984	430	430
ENSMUSG00000102541	403	403
ENSMUSG00000103531	404	404
ENSMUSG00000048814	7407	7407
ENSMUSG00000026080	12522	12522
ENSMUSG00000103647	226	226
ENSMUSG00000102447	673	673
ENSMUSG00000067604	1000	1000
ENSMUSG00000026078	4224	4224
ENSMUSG00000103046	1540	1540
ENSMUSG00000104188	1744	1744
ENSMUSG00000103182	1855	1988
ENSMUSG00000098833	0	0
ENSMUSG00000026077	4688	4688
ENSMUSG00000092553	184	184
ENSMUSG00000092563	440	456
ENSMUSG00000073702	1527	1806
ENSMUSG00000003134	5332	5332
ENSMUSG00000102607	786	786
ENSMUSG00000065629	0	116
ENSMUSG00000104827	1	117
ENSMUSG00000003135	3505	3505
ENSMUSG00000085894	1125	1733
ENSMUSG00000077704	11	11
ENSMUSG00000048234	2351	2959
ENSMUSG00000064936	31	31
ENSMUSG00000102471	490	490
ENSMUSG00000050967	5992	5992
ENSMUSG00000097083	3564	3564
ENSMUSG00000057173	2040	2040
ENSMUSG00000091937	253	253
ENSMUSG00000101634	1086	1086
ENSMUSG00000026074	10345	10345
ENSMUSG00000102985	1231	1231
ENSMUSG00000026073	1852	1852
ENSMUSG00000097899	743	743
ENSMUSG00000102975	2972	2972
ENSMUSG00000026072	6263	6263
ENSMUSG00000103560	6144	6358
ENSMUSG00000070942	7037	7037
ENSMUSG00000103230	586	586
ENSMUSG00000026069	6794	6794
ENSMUSG00000026070	5202	5202
ENSMUSG00000026068	6650	6650
ENSMUSG00000104441	477	477
ENSMUSG00000026065	4460	4460
ENSMUSG00000102676	3848	3848
ENSMUSG00000026062	6882	6882
ENSMUSG00000103679	704	704
ENSMUSG00000103270	3162	3162
ENSMUSG00000041945	5317	5317
ENSMUSG00000079588	2617	2617
ENSMUSG00000094136	397	397
ENSMUSG00000104072	447	447
ENSMUSG00000100185	2514	2514
ENSMUSG00000100832	3098	3098
ENSMUSG00000100178	946	946
ENSMUSG00000101877	1000	1000
ENSMUSG00000053640	1284	1284
ENSMUSG00000101919	364	364
ENSMUSG00000101299	1632	1632
ENSMUSG00000100180	1172	1172
ENSMUSG00000103106	434	434
ENSMUSG00000060424	4826	4826
ENSMUSG00000104199	577	577
ENSMUSG00000093436	1613	1613
ENSMUSG00000045515	7310	7310
ENSMUSG00000097063	1156	1156
ENSMUSG00000099784	2071	2071
ENSMUSG00000060679	5948	5948
ENSMUSG00000077448	35	35
ENSMUSG00000041907	7175	7175
ENSMUSG00000089088	0	0
ENSMUSG00000070939	11226	11226
ENSMUSG00000100269	315	315
ENSMUSG00000041878	1149	1149
ENSMUSG00000010290	3359	3359
ENSMUSG00000008136	1894	1894
ENSMUSG00000094497	0	384
ENSMUSG00000099576	1089	1089
ENSMUSG00000099694	354	354
ENSMUSG00000101923	281	281
ENSMUSG00000066877	4374	4447
ENSMUSG00000103422	2392	2392
ENSMUSG00000103945	1194	1194
ENSMUSG00000026051	803	803
ENSMUSG00000100764	287	287
ENSMUSG00000100635	513	513
ENSMUSG00000100480	400	400
ENSMUSG00000057363	5206	5619
ENSMUSG00000090243	1180	1180
ENSMUSG00000100701	446	446
ENSMUSG00000101395	717	717
ENSMUSG00000088848	26	26
ENSMUSG00000095757	11	11
ENSMUSG00000041763	10562	10562
ENSMUSG00000047343	4390	4390
ENSMUSG00000090106	81	81
ENSMUSG00000091844	5886	5886
ENSMUSG00000026049	2520	2787
ENSMUSG00000101104	195	702
ENSMUSG00000026047	3149	3389
ENSMUSG00000041684	4295	4295
ENSMUSG00000026048	6208	6208
ENSMUSG00000046828	3959	3959
ENSMUSG00000089703	858	858
ENSMUSG00000100966	890	890
ENSMUSG00000100769	1009	1009
ENSMUSG00000101567	210	210
ENSMUSG00000056870	4037	4037
ENSMUSG00000102319	4464	4464
ENSMUSG00000089877	321	321
ENSMUSG00000101701	806	806
ENSMUSG00000103071	1056	1452
ENSMUSG00000100434	402	429
ENSMUSG00000100013	568	568
ENSMUSG00000101251	646	646
ENSMUSG00000101937	841	841
ENSMUSG00000026043	9929	9971
ENSMUSG00000105211	0	42
ENSMUSG00000026042	9684	9684
ENSMUSG00000104476	7118	7118
ENSMUSG00000100218	398	425
ENSMUSG00000100361	882	882
ENSMUSG00000100894	485	485
ENSMUSG00000095121	8	8
ENSMUSG00000065255	32	32
ENSMUSG00000100843	1051	1051
ENSMUSG00000087764	104	104
ENSMUSG00000025995	5362	5362
ENSMUSG00000099850	1680	1680
ENSMUSG00000084817	147	324
ENSMUSG00000098549	650	650
ENSMUSG00000099381	1077	1077
ENSMUSG00000025993	9314	9314
ENSMUSG00000099946	1502	1502
ENSMUSG00000070896	366	366
ENSMUSG00000090682	163	165
ENSMUSG00000044457	4578	4760
ENSMUSG00000099432	461	461
ENSMUSG00000041144	17131	20001
ENSMUSG00000096047	20	20
ENSMUSG00000101262	1781	1854
ENSMUSG00000101337	9586	12598
ENSMUSG00000025986	5992	5992
ENSMUSG00000100213	852	852
ENSMUSG00000103129	3771	3771
ENSMUSG00000100160	198	198
ENSMUSG00000101921	108	139
ENSMUSG00000101447	389	389
ENSMUSG00000081185	431	630
ENSMUSG00000103246	1843	1843
ENSMUSG00000098876	6	6
ENSMUSG00000100530	643	643
ENSMUSG00000104067	807	807
ENSMUSG00000100033	1761	1839
ENSMUSG00000094968	0	22
ENSMUSG00000088017	171	171
ENSMUSG00000101996	728	728
ENSMUSG00000096973	887	887
ENSMUSG00000064943	22	22
ENSMUSG00000100866	114	114
ENSMUSG00000101721	1274	1274
ENSMUSG00000099376	733	733
ENSMUSG00000097883	912	912
ENSMUSG00000092790	343	343
ENSMUSG00000099698	116	116
ENSMUSG00000099454	788	788
ENSMUSG00000051616	483	483
ENSMUSG00000099627	1607	1607
ENSMUSG00000099577	341	341
ENSMUSG00000099882	338	338
ENSMUSG00000101760	605	605
ENSMUSG00000099608	1387	1394
ENSMUSG00000099864	627	627
ENSMUSG00000098249	33	33
ENSMUSG00000100451	429	429
ENSMUSG00000099941	63	63
ENSMUSG00000084531	215	215
ENSMUSG00000100816	2228	2228
ENSMUSG00000026109	6603	6603
ENSMUSG00000100671	1376	1376
ENSMUSG00000092906	2	2
ENSMUSG00000101242	127	127
ENSMUSG00000099924	2174	2174
ENSMUSG00000099625	2429	2429
ENSMUSG00000101799	2453	2453
ENSMUSG00000045954	2956	2956
ENSMUSG00000099741	926	926
ENSMUSG00000101702	449	449
ENSMUSG00000026107	8843	8843
ENSMUSG00000099413	3879	3879
ENSMUSG00000103424	2266	2266
ENSMUSG00000101741	1320	1320
ENSMUSG00000018417	10948	10948
ENSMUSG00000101724	1180	1180
ENSMUSG00000100313	2400	2400
ENSMUSG00000100696	313	313
ENSMUSG00000099135	23	23
ENSMUSG00000072324	495	499
ENSMUSG00000062939	3175	3871
ENSMUSG00000101628	934	3433
ENSMUSG00000078291	289	333
ENSMUSG00000109599	1071	1071
ENSMUSG00000026104	5948	7751
ENSMUSG00000099569	789	789
ENSMUSG00000026103	15594	15615
ENSMUSG00000099648	1300	1300
ENSMUSG00000065192	10	10
ENSMUSG00000002881	4380	4380
ENSMUSG00000097833	889	897
ENSMUSG00000101501	357	364
ENSMUSG00000100120	602	602
ENSMUSG00000099878	2844	2844
ENSMUSG00000100007	251	543
ENSMUSG00000043015	7649	7649
ENSMUSG00000103630	1986	1986
ENSMUSG00000041439	8347	8347
ENSMUSG00000100302	2392	2392
ENSMUSG00000100230	312	312
ENSMUSG00000026102	6511	6511
ENSMUSG00000041426	6052	6052
ENSMUSG00000089802	763	763
ENSMUSG00000043629	3557	4312
ENSMUSG00000026100	2704	2704
ENSMUSG00000089334	2	2
ENSMUSG00000060715	728	728
ENSMUSG00000026098	7748	7824
ENSMUSG00000100763	436	436
ENSMUSG00000026097	4299	4611
ENSMUSG00000100679	99	686
ENSMUSG00000026096	6260	6535
ENSMUSG00000099913	796	3043
ENSMUSG00000101838	965	1317
ENSMUSG00000026095	1722	3617
ENSMUSG00000100267	224	224
ENSMUSG00000099450	474	474
ENSMUSG00000100069	240	240
ENSMUSG00000096141	10244	12668
ENSMUSG00000092657	26	26
ENSMUSG00000026094	5214	5214
ENSMUSG00000102405	1355	1358
ENSMUSG00000042807	12845	12845
ENSMUSG00000098443	0	0
ENSMUSG00000087949	15	15
ENSMUSG00000102868	2601	2601
ENSMUSG00000094013	0	8
ENSMUSG00000025983	5279	5279
ENSMUSG00000041303	4700	4825
ENSMUSG00000109809	726	726
